DATE,SP500
1996-01,636.02002
1996-02,640.429993
1996-03,645.5
1996-04,654.169983
1996-05,669.119995
1996-06,670.630005
1996-07,639.950012
1996-08,651.98999
1996-09,687.330017
1996-10,705.27002
1996-11,757.02002
1996-12,740.73999
1997-01,786.159973
1997-02,790.820007
1997-03,757.119995
1997-04,801.340027
1997-05,848.280029
1997-06,885.140015
1997-07,954.309998
1997-08,899.469971
1997-09,947.280029
1997-10,914.619995
1997-11,955.400024
1997-12,970.429993
1998-01,980.280029
1998-02,1049.339966
1998-03,1101.75
1998-04,1111.75
1998-05,1090.819946
1998-06,1133.839966
1998-07,1120.670044
1998-08,957.280029
1998-09,1017.01001
1998-10,1098.670044
1998-11,1163.630005
1998-12,1229.22998
1999-01,1279.640015
1999-02,1238.329956
1999-03,1286.369995
1999-04,1335.180054
1999-05,1301.839966
1999-06,1372.709961
1999-07,1328.719971
1999-08,1320.410034
1999-09,1282.709961
1999-10,1362.930054
1999-11,1388.910034
1999-12,1469.25
2000-01,1394.459961
2000-02,1366.420044
2000-03,1498.579956
2000-04,1452.430054
2000-05,1420.599976
2000-06,1454.599976
2000-07,1430.829956
2000-08,1517.680054
2000-09,1436.51001
2000-10,1429.400024
2000-11,1314.949951
2000-12,1320.280029
2001-01,1366.01001
2001-02,1239.939941
2001-03,1160.329956
2001-04,1249.459961
2001-05,1255.819946
2001-06,1224.380005
2001-07,1211.22998
2001-08,1133.579956
2001-09,1040.939941
2001-10,1059.780029
2001-11,1139.449951
2001-12,1148.079956
2002-01,1130.199951
2002-02,1106.72998
2002-03,1147.390015
2002-04,1076.920044
2002-05,1067.140015
2002-06,989.820007
2002-07,911.619995
2002-08,916.070007
2002-09,815.280029
2002-10,885.76001
2002-11,936.309998
2002-12,879.820007
2003-01,855.700012
2003-02,841.150024
2003-03,848.179993
2003-04,916.919983
2003-05,963.590027
2003-06,974.5
2003-07,990.309998
2003-08,1008.01001
2003-09,995.969971
2003-10,1050.709961
2003-11,1058.199951
2003-12,1111.920044
2004-01,1131.130005
2004-02,1144.939941
2004-03,1126.209961
2004-04,1107.300049
2004-05,1120.680054
2004-06,1140.839966
2004-07,1101.719971
2004-08,1104.23999
2004-09,1114.579956
2004-11,1173.819946
2004-12,1211.920044
2005-01,1181.27002
2005-02,1203.599976
2005-03,1180.589966
2005-04,1156.849976
2005-05,1191.5
2005-06,1191.329956
2005-07,1234.180054
2005-08,1220.329956
2005-09,1228.810059
2005-10,1207.01001
2005-11,1249.47998
2005-12,1248.290039
2006-01,1280.079956
2006-02,1280.660034
2006-03,1294.869995
2006-04,1310.609985
2006-05,1270.089966
2006-06,1270.199951
2006-07,1276.660034
2006-08,1303.819946
2006-09,1335.849976
2006-10,1377.939941
2006-11,1400.630005
2006-12,1418.300049
2007-01,1438.23999
2007-02,1406.819946
2007-03,1420.859985
2007-04,1482.369995
2007-05,1530.619995
2007-06,1503.349976
2007-07,1455.27002
2007-08,1473.98999
2007-09,1526.75
2007-10,1549.380005
2007-11,1481.140015
2007-12,1468.359985
2008-01,1378.550049
2008-02,1330.630005
2008-03,1322.699951
2008-04,1385.589966
2008-05,1400.380005
2008-06,1280
2008-07,1267.380005
2008-08,1282.829956
2008-09,1166.359985
2008-10,968.75
2008-11,896.23999
2008-12,903.25
2009-01,825.880005
2009-02,735.090027
2009-03,797.869995
2009-04,872.809998
2009-05,919.140015
2009-06,919.320007
2009-07,987.47998
2009-08,1020.619995
2009-09,1057.079956
2009-10,1036.189941
2009-11,1095.630005
2009-12,1115.099976
2010-01,1073.869995
2010-02,1104.48999
2010-03,1169.430054
2010-04,1186.689941
2010-05,1089.410034
2010-06,1030.709961
2010-07,1101.599976
2010-08,1049.329956
2010-09,1141.199951
2010-10,1183.26001
2010-11,1180.550049
2010-12,1257.640015
2011-01,1286.119995
2011-02,1327.219971
2011-03,1325.829956
2011-04,1363.609985
2011-05,1345.199951
2011-06,1320.640015
2011-07,1292.280029
2011-08,1218.890015
2011-09,1131.420044
2011-10,1253.300049
2011-11,1246.959961
2011-12,1257.599976
2012-01,1312.410034
2012-02,1365.680054
2012-03,1408.469971
2012-04,1397.910034
2012-05,1310.329956
2012-06,1362.160034
2012-07,1379.319946
2012-08,1406.579956
2012-09,1440.670044
2012-10,1412.160034
2012-11,1416.180054
2012-12,1426.189941
2013-01,1498.109985
2013-02,1514.680054
2013-03,1569.189941
2013-04,1597.569946
2013-05,1630.73999
2013-06,1606.280029
2013-07,1685.72998
2013-08,1632.969971
2013-09,1681.550049
2013-10,1756.540039
2013-11,1805.810059
2013-12,1848.359985
2014-01,1782.589966
2014-02,1859.449951
2014-03,1872.339966
2014-04,1883.949951
2014-05,1923.569946
2014-06,1960.22998
2014-07,1930.670044
2014-08,2003.369995
2014-09,1972.290039
2014-10,2018.050049
